"id","title","link","gtn","description","image_link","brand","price","availability","condition"
"A62","Durovin Bathroom Wall Hung Stainless Steel Towel Rail 600mm","https://www.durovinbathrooms.com/wall-hung-stainless-steel-towel-rail-600mm","3881348275766","Durovin Bathroom Wall Hung Stainless Steel Towel Rail 600Mm","https://www.durovinbathrooms.com/pub/media/catalog/product//a/6/a62.jpg","Durovin Bathrooms","25.70","out of stock","new"
"A87","Contemporary Square Wall Mounted Chrome Bathroom Towel Rail 600mm","https://www.durovinbathrooms.com/wall-mounted-bathroom-towel-rail-600mm","3881427337576","Durovin Square Wall Mounted Chrome Bathroom Towel Rail 600mm","https://www.durovinbathrooms.com/pub/media/catalog/product//7/0/708.jpg","Durovin Bathrooms","28.83","in stock","new"
"A89","Sleek Curved Wall Mounted Chrome Bathroom Towel Rail","https://www.durovinbathrooms.com/curved-wall-mounted-bathroom-towel-rail","3881431478371","Durovin Curved Wall Mounted Chrome Bathroom Towel Rail","https://www.durovinbathrooms.com/pub/media/catalog/product//t/o/towel_rail_mma1708_1.jpg","Durovin Bathrooms","29.86","in stock","new"
"B48","Designer Chrome Wall Hung Bathroom Robe Hook","https://www.durovinbathrooms.com/wall-hung-bathroom-robe-hook","3881643024281","Durovin Designer Chrome Wall Hung Bathroom Robe Hook","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_75_6.jpg","Durovin Bathrooms","19.56","out of stock","new"
"A01&B50","4G01W - 100x100x4 - Square Acrylic Shower Tray (FARO1)","https://www.durovinbathrooms.com/square-acrylic-shower-tray-all-size","3887202739795","Lucia Range Square Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_78.jpg","Durovin Bathrooms","110.20","in stock","new"
"C05&B50","4G01W - 75x75x4 - Square Acrylic Shower Tray (FARO1)","https://www.durovinbathrooms.com/square-acrylic-shower-tray-all-size","7434936421425","Lucia Range Square Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_1_19.jpg","Durovin Bathrooms","80.24","in stock","new"
"C06&B50","4G01W - 70x70x4 - Square Acrylic Shower Tray (FARO1)","https://www.durovinbathrooms.com/square-acrylic-shower-tray-all-size","7434936421432","Lucia Range Square Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_78.jpg","Durovin Bathrooms","74.89","in stock","new"
"C08&B50","4G01W - 90x90x4 - Square Acrylic Shower Tray (FARO1)","https://www.durovinbathrooms.com/square-acrylic-shower-tray-all-size","7434936421456","Lucia Range Square Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_78.jpg","Durovin Bathrooms","99.50","in stock","new"
"C09&B50","4G01W - 80x80x4 - Square Acrylic Shower Tray (FARO1)","https://www.durovinbathrooms.com/square-acrylic-shower-tray-all-size","7434936421463","Lucia Range Square Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_78.jpg","Durovin Bathrooms","90.94","in stock","new"
"A02&B50","4G04W - 90x140x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","3887206492238","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","147.65","in stock","new"
"A03&B50","4G04W - 80x140x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","3887218315822","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","136.95","in stock","new"
"A04&B50","4G04W - 90x120x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","3887222072988","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","131.60","in stock","new"
"A05&B50","4G04W - 80x120x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","3887223529900","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","120.90","in stock","new"
"A06&B50","4G04W - 80x100x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","3887226755719","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","99.50","in stock","new"
"C07&B50","4G04W - 80x90x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936421449","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","96.29","in stock","new"
"C10&B50","4G04W - 90x100x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936421470","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","110.20","in stock","new"
"E02&B50","4G04W 70x120x4 Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936824806","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","110.20","in stock","new"
"E03&B50","4G04W 70x90x4 Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936824813","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","85.59","in stock","new"
"E04&B50","4G04W 70x100x4 Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936824820","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","90.94","in stock","new"
"E05&B50","4G04W 70x80x4 Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936824837","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","80.24","in stock","new"
"E07&B50","4G04W 100x120x4 Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936824851","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","142.30","in stock","new"
"E57&B50","4G04W 80x110x4 - Rectangle Acrylic Shower Tray (FARO2)","https://www.durovinbathrooms.com/rectangular-acrylic-shower-tray-all-size","7434936525529","Lucia Range Rectangle Shape Acrylic Shower Tray Free Waste Multiple Size","https://www.durovinbathrooms.com/pub/media/catalog/product//0/0/00_77_4.jpg","Durovin Bathrooms","104.85","in stock","new"
